,d,k,l,level,Min,Moves
47,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
48,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
49,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
50,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
51,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
52,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
53,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
54,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
55,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
56,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
57,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
58,3,2,4,2,9,"[(7.0, 'purple'), (6.0, 'red'), (2.0, 'blue'), (0.0, 'green'), (1.0, 'purple'), (5.0, 'red'), (3.0, 'blue'), (4.0, 'green'), (6.0, 'blue')]"
