,d,k,l,level,Min,Moves
32,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
33,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
34,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
35,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
36,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
37,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
38,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
39,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
40,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
41,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
42,3,1,4,2,12,"[(7.0, 'purple'), (0.0, 'blue'), (1.0, 'green'), (5.0, 'red'), (4.0, 'blue'), (0.0, 'green'), (6.0, 'blue'), (3.0, 'purple'), (7.0, 'blue'), (1.0, 'purple'), (4.0, 'green'), (6.0, 'blue')]"
